ctid,date,nginx-access-*,ssh-*,telnet-*,ftp-*,total
616,2019-10-01,558,16593,2203,1,19355
616,2019-10-02,937,13096,1798,3,15834
616,2019-10-03,103,15361,881,2,16347
616,2019-10-04,112,21920,863,0,22895
616,2019-10-05,857,24177,1922,3,26959
616,2019-10-06,1133,17519,2601,0,21253
616,2019-10-07,1300,20527,1788,5,23620
616,2019-10-08,103,35060,2421,0,37584
616,2019-10-09,1869,17776,1354,1,21000
616,2019-10-10,144,11963,2626,0,14733
616,2019-10-11,1009,11687,1115,2,13813
616,2019-10-12,78,8086,1567,4,9735
616,2019-10-13,964,11313,1590,2,13869
616,2019-10-14,484,7544,1557,2,9587
616,2019-10-15,187,8777,2204,0,11168
616,2019-10-16,178,13305,1435,1,14919
616,2019-10-17,658,9772,1709,2,12141
616,2019-10-18,198,19935,1232,2,21367
616,2019-10-19,194,6265,2612,0,9071
616,2019-10-20,122,4382,1747,0,6251
616,2019-10-21,110,11565,1023,1,12699
616,2019-10-22,1076,9991,1614,5,12686
616,2019-10-23,745,9256,1781,2,11784
616,2019-10-24,130,14650,1468,2,16250
616,2019-10-25,123,12120,867,1,13111
616,2019-10-26,1009,15342,2097,0,18448
616,2019-10-27,108,17516,1558,11,19193
616,2019-10-28,776,14822,1098,1,16697
616,2019-10-29,554,28104,1768,1,30427
616,2019-10-30,95,21726,1421,1,23243
616,2019-10-31,650,13133,1612,1,15396
616,2019-11-01,65,15656,953,2,16676
616,2019-11-02,474,14597,1517,1,16589
616,2019-11-03,101,23200,1505,0,24806
616,2019-11-04,103,11692,2166,0,13961
616,2019-11-05,1041,3880,1815,2,6738
616,2019-11-06,116,8965,1441,5,10527
616,2019-11-07,299,14548,1406,3,16256
616,2019-11-08,456,10494,1236,0,12186
616,2019-11-09,117,9769,1221,1,11108
616,2019-11-10,95,25834,1138,2,27069
616,2019-11-11,643,17280,790,3,18716
616,2019-11-12,129,18678,2762,0,21569
616,2019-11-13,198,15950,1592,0,17740
616,2019-11-14,158,13889,2416,1,16464
616,2019-11-15,110,5856,2535,2,8503
616,2019-11-16,717,2773,2441,1,5932
616,2019-11-17,205,3953,4149,0,8307
616,2019-11-18,149,2770,3142,2,6063
616,2019-11-19,1092,5849,2619,0,9560
616,2019-11-20,964,1696,2217,1,4878
616,2019-11-21,128,4241,1527,2,5898
616,2019-11-22,114,5948,1242,1,7305
616,2019-11-23,131,10126,2484,0,12741
616,2019-11-24,125,9270,1454,0,10849
616,2019-11-25,939,11568,2027,0,14534
616,2019-11-26,184,9549,1836,0,11569
616,2019-11-27,569,6913,1632,0,9114
616,2019-11-28,52,11896,424,0,12372
616,2019-11-29,10,169,1,0,180
616,2019-08-01,48,38896,304,0,39248
616,2019-08-02,79,37576,462,0,38117
616,2019-08-03,235,9765,66,0,10066
616,2019-08-04,52,1249,291,1,1593
616,2019-08-05,308,14137,385,1,14831
616,2019-08-06,405,5868,555,2,6830
616,2019-08-07,89,6652,322,1,7064
616,2019-08-08,345,2957,320,0,3622
616,2019-08-09,59,2051,333,1,2444
616,2019-08-10,58,1424,123,0,1605
616,2019-08-11,111,1548,156,1,1816
616,2019-08-12,48,15821,106,0,15975
616,2019-08-13,48,18309,195,0,18552
616,2019-08-14,75,3635,151,1,3862
616,2019-08-15,44,1988,3,0,2035
616,2019-08-16,52,4197,120,1,4370
616,2019-08-17,193,3764,125,0,4082
616,2019-08-18,104,3662,1491,2,5259
